2024-06-07 15:51:17.930 [main] INFO  org.chenzc.communi.CommuniApplication - Starting CommuniApplication using Java 17.0.11 with PID 32236 (D:\Idea\IdeaProject\communiFlow\communi-application\target\classes started by chenz in D:\Idea\IdeaProject\communiFlow)
2024-06-07 15:51:18.954 [main] INFO  org.chenzc.communi.CommuniApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-07 15:51:20.452 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-07 15:51:20.455 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-07 15:51:20.490 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2024-06-07 15:51:21.438 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 3000 (http)
2024-06-07 15:51:21.456 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-3000"]
2024-06-07 15:51:21.458 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-06-07 15:51:21.459 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-06-07 15:51:21.551 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-07 15:51:21.552 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2250 ms
2024-06-07 15:51:23.256 [main] INFO  org.chenzc.communi.xxl.config.XxlJobConfig - -------------------------------------------------- 
 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxl-joooooooooooooooooooob init 
----------------------------------------------
2024-06-07 15:51:24.692 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2024-06-07 15:51:24.772 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:communiFlowJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@565030b7[class org.chenzc.communi.handler.CronTaskHandler#execute]
2024-06-07 15:51:24.774 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:nightShieldLazyJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@24f77077[class org.chenzc.communi.handler.NightShieldHandler#execute]
2024-06-07 15:51:24.966 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-3000"]
2024-06-07 15:51:24.973 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 3000 (http) with context path '/'
2024-06-07 15:51:24.999 [main] INFO  org.chenzc.communi.CommuniApplication - Started CommuniApplication in 12.654 seconds (process running for 19.436)
2024-06-07 15:51:25.186 [Thread-4] INFO  com.xxl.job.core.server.EmbedServer - >>>>>>>>>>> xxl-job remoting server start success, nettype = class com.xxl.job.core.server.EmbedServer, port = 9997
2024-06-07 15:51:25.219 [xxl-job, executor ExecutorRegistryThread] INFO  com.xxl.job.core.thread.ExecutorRegistryThread - >>>>>>>>>>> xxl-job registry fail, registryParam:RegistryParam{registryGroup='EXECUTOR', registryKey='communiFlow', registryValue='http://127.0.0.1:9997/'}, registryResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused: getsockopt), for url : http://127.0.0.1:5000/xxl-job-admin/api/registry, content=null]
2024-06-07 15:51:25.313 [RMI TCP Connection(5)-192.168.138.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Starting...
2024-06-07 15:51:25.322 [RMI TCP Connection(4)-192.168.138.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-07 15:51:25.323 [RMI TCP Connection(4)-192.168.138.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-06-07 15:51:25.325 [RMI TCP Connection(4)-192.168.138.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
